NazwaStanowiska,Miejscowość,Firma,PLN,Doświadczenie,RodzajUmowy,RodzajKontraktu,TrybPracy,DataPobrania
Business Analyst - Technology Development,"Kraków, Podgórze Duchackie",AMS,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa,20.05.2024
Analityk Biznesowy,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Ochota",Edge One Solutions Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk biznesowo-systemowy,"Warszawa, Ochota",Edge One Solutions Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Senior Business Analyst,"Kraków, Dębniki",HSBC Service Delivery (Polska) Sp. z o.o.,-,Starszy specjalista (Senior),Pełny etat,Umowa o pracę,Запрошуємо працівників з України,20.05.2024
IT Business Analyst,Warszawa,Anex Tour Poland,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
ERP / EDI Business Analyst,Gliwice,Moltton,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna,20.05.2024
Analityk Biznesowy i Techniczny Kierownik Produktu AI / Analityczka Biznesowa i Techniczna Kierowniczka Produktu AI,"Warszawa, Ochota",Centralny Ośrodek Informatyki,14 000–18 000 zł brutto / mies.,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk biznesowo-systemowy,"Warszawa, Mokotów",Nexio Management Sp. z o.o.,-,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Szukamy wielu kandydatów (2 wakaty),20.05.2024
Analityk Biznesowy,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,Connectis_,22 000–24 000 zł netto (+ VAT) / mies.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca zdalna,20.05.2024
Business Analyst (SAP SD + EDI),Warszawa,ITFS sp. z o.o.,110–140 zł netto (+ VAT) / godz.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Business Applications Developer,Pietrzykowice (pow. wrocławski; gm. Kąty Wrocławskie),Aircom Automotive,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna,20.05.2024
Analityk/czka Biznesowo-Systemowy/a,"Gdańsk, Oliwa",Wakacje.pl,-,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa o pracę, Kontrakt B2B",Szukamy wielu kandydatów (2 wakaty),20.05.2024
Analityk Biznesowy EOD (Elektronicznego Obiegu Dokumentów),"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Włochy",DahliaMatic,7 000–12 000 zł / mies. (zal. od umowy),Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Praca od zaraz,20.05.2024
Analityk Systemowy,"Wrocław, Psie Pole",Kaczmarski Inkasso sp.j,-,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz,20.05.2024
Business System Analyst,Katowice,E NET PRODUCTION,12 000–19 000 zł / mies. (zal. od umowy),"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa o pracę, Kontrakt B2B","Praca zdalna, Praca hybrydowa",20.05.2024
Business Analyst - One Portal Team,"Warszawa, Mokotów",T-Mobile,-,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca zdalna,20.05.2024
Senior Business Analyst – Business Intelligence,"Łódź, Bałuty",Hitachi Energy Poland Sp. z o.o.,-,Starszy specjalista (Senior),Pełny etat,Umowa o pracę,Praca stacjonarna,20.05.2024
Specjalista / Specjalistka ds. Projektów Wdrożeniowych SQL,"Warszawa, Śródmieście",MOREBIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk Biznesowo-Systemowy,"Warszawa, Wola",VanityStyle Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa,20.05.2024
The JDE Project Manager,Wrocław,UPVANTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,-,Menedżer,Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa,20.05.2024
